client,req_id,latency_ms,status,ts
0,0,2.612590789794922,200,1760318874.6348991
2,0,2.1393299102783203,200,1760318874.635544
1,0,2.1038055419921875,200,1760318874.6356122
3,0,2.3207664489746094,200,1760318874.6364515
4,0,1.1997222900390625,200,1760318874.6368573
2,1,1.3451576232910156,200,1760318874.6372411
1,1,1.8877983093261719,200,1760318874.6377542
0,1,2.1293163299560547,200,1760318874.638108
3,1,1.9154548645019531,200,1760318874.6386774
4,1,1.5845298767089844,200,1760318874.6389744
2,2,1.8055438995361328,200,1760318874.639306
1,2,1.8405914306640625,200,1760318874.639846
0,2,1.7747879028320312,200,1760318874.6401844
3,2,1.5480518341064453,200,1760318874.6404934
4,2,1.7092227935791016,200,1760318874.6409056
2,3,1.8429756164550781,200,1760318874.6414492
1,3,1.6064643859863281,200,1760318874.6417363
0,3,1.7409324645996094,200,1760318874.6422176
3,3,1.8055438995361328,200,1760318874.6426203
4,3,1.7695426940917969,200,1760318874.6429772
2,4,1.7213821411132812,200,1760318874.6435232
1,4,1.5482902526855469,200,1760318874.643718
0,4,1.7795562744140625,200,1760318874.6445
3,4,1.3453960418701172,200,1760318874.6446397
4,4,1.4204978942871094,200,1760318874.6449482
2,5,1.5723705291748047,200,1760318874.645314
1,5,1.5285015106201172,200,1760318874.6457095
0,5,1.3766288757324219,200,1760318874.6461456
3,5,1.6717910766601562,200,1760318874.6464975
4,5,1.62506103515625,200,1760318874.6469512
2,6,1.7986297607421875,200,1760318874.6473303
1,6,1.8372535705566406,200,1760318874.6478176
0,6,1.6937255859375,200,1760318874.6480832
3,6,1.7435550689697266,200,1760318874.6484866
4,6,1.636505126953125,200,1760318874.6488082
2,7,1.6126632690429688,200,1760318874.6492984
1,7,1.4715194702148438,200,1760318874.649621
0,7,1.5780925750732422,200,1760318874.6498823
3,7,1.5816688537597656,200,1760318874.6502633
4,7,1.7027854919433594,200,1760318874.6507385
2,8,1.5726089477539062,200,1760318874.6512144
1,8,1.5642642974853516,200,1760318874.6514676
0,8,1.8610954284667969,200,1760318874.6519978
3,8,1.8274784088134766,200,1760318874.652316
4,8,1.7306804656982422,200,1760318874.652696
2,9,1.6224384307861328,200,1760318874.6530743
1,9,1.8138885498046875,200,1760318874.6535997
0,9,1.598358154296875,200,1760318874.6538763
3,9,1.7309188842773438,200,1760318874.654302
4,9,1.737356185913086,200,1760318874.654656
2,10,1.7693042755126953,200,1760318874.655275
1,10,1.6872882843017578,200,1760318874.6555865
0,10,1.7390251159667969,200,1760318874.655902
3,10,2.015352249145508,200,1760318874.65668
4,10,2.0384788513183594,200,1760318874.6569655
2,11,1.7480850219726562,200,1760318874.6575363
1,11,1.7163753509521484,200,1760318874.6578076
0,11,1.9223690032958984,200,1760318874.6582968
4,11,1.2674331665039062,200,1760318874.6586995
3,11,1.9309520721435547,200,1760318874.6592753
1,12,1.2445449829101562,200,1760318874.6593356
2,12,1.703500747680664,200,1760318874.6599276
0,12,1.4121532440185547,200,1760318874.660207
4,12,1.605987548828125,200,1760318874.6605155
3,12,1.4774799346923828,200,1760318874.6610973
1,13,1.9943714141845703,200,1760318874.6617792
2,13,1.8198490142822266,200,1760318874.662094
0,13,2.6025772094726562,200,1760318874.663118
4,13,2.680540084838867,200,1760318874.6634457
3,13,2.499818801879883,200,1760318874.6638858
1,14,2.274036407470703,200,1760318874.6643243
2,14,2.460002899169922,200,1760318874.6648672
0,14,1.7762184143066406,200,1760318874.665456
4,14,1.8019676208496094,200,1760318874.6656046
3,14,1.775503158569336,200,1760318874.6659827
1,15,2.2652149200439453,200,1760318874.666794
2,15,2.214193344116211,200,1760318874.6674027
4,15,1.7735958099365234,200,1760318874.667638
0,15,2.2106170654296875,200,1760318874.6680777
3,15,2.147197723388672,200,1760318874.6686394
1,16,1.9879341125488281,200,1760318874.6692486
4,16,2.0079612731933594,200,1760318874.66986
0,16,1.8274784088134766,200,1760318874.6701298
2,16,1.9803047180175781,200,1760318874.6702538
3,16,1.6024112701416016,200,1760318874.6704369
1,17,1.3060569763183594,200,1760318874.6708426
4,17,1.0221004486083984,200,1760318874.6711462
0,17,1.0268688201904297,200,1760318874.6713743
2,17,1.1913776397705078,200,1760318874.6716242
3,17,1.0864734649658203,200,1760318874.6718185
1,18,1.0747909545898438,200,1760318874.6721706
4,18,0.9112358093261719,200,1760318874.6722906
0,18,1.0046958923339844,200,1760318874.6725817
2,18,0.9014606475830078,200,1760318874.6727383
3,18,1.068115234375,200,1760318874.6729896
1,19,1.1796951293945312,200,1760318874.673549
4,19,1.3155937194824219,200,1760318874.6737924
0,19,1.1987686157226562,200,1760318874.6740034
2,19,1.4050006866455078,200,1760318874.674321
3,19,1.4255046844482422,200,1760318874.6745985
